"Section","# of tickets (>=0)","Price Range","Type"
"FLOOR","175","$47","primary"
"FLOOR","124","$57","primary"
"STE3","20","$67","primary"
"STE2","16","$67","primary"
"STE1","16","$67","primary"
"MEZZL","9","$67","primary"
"MEZZR","6","$67","primary"
"X","4","$67","primary"
"S","4","$67","primary"
"FLOOR","4","$282","resale"
"FLOOR","4","$241","resale"
"AA","4","$67","primary"
"V","2","$67","primary"
"T","2","$67","primary"
"FLOOR","2","$256","resale"
"Y","1","$67","primary"
