"Section","# of tickets (>=0)","Price Range","Type"
"FLOOR","35","$122 - $296","resale"
"BALCTR","6","$205","resale"
"BALCTR","2","$298","resale"
"BALCTR","2","$218","resale"
"BALRGT","1","$57","primary"
"BALCTR","1","$300","resale"
"BALCTR","1","$57","primary"
