"Section","# of tickets (>=0)","Price Range","Type"
"GA4","71","$70 - $205","resale"
"GA3","58","$78 - $142","resale"
"GA1","35","$71 - $225","resale"
"GA2","24","$72 - $140","resale"
"GA5","8","$80","resale"
