"Section","# of tickets (>=0)","Price Range","Type"
"GA4","72","$69 - $205","resale"
"GA3","59","$62 - $142","resale"
"GA1","35","$71 - $225","resale"
"GA2","34","$59","primary"
"GA2","22","$72 - $152","resale"
"GA5","8","$86","resale"
"GA3","5","$59","primary"
