"Section","# of tickets (>=0)","Price Range","Type"
"GA2","24","$94 - $103","resale"
"GA1","16","$65","primary"
"GA3","10","$99 - $107","resale"
"GA2","9","$115","primary"
"GA1","1","$99","resale"
