"Section","# of tickets (>=0)","Price Range","Type"
"GA2","500","$45.5","primary"
"GA1","140","$181.5","primary"
"GA3","131","$45.5","primary"
"GA1","41","$45.5","primary"
"BALC2","16","$45.5","primary"
"BALC3","15","$45.5","primary"
"BALC5","14","$45.5","primary"
"BALC4","12","$45.5","primary"
"BALC1","11","$45.5","primary"
"MEZZ3","3","$174.25","primary"
"BALC6","3","$45.5","primary"
"MEZZ3","2","$148","primary"
"MEZZ1","2","$148","primary"
"BALC7","1","$45.5","primary"
