"Section","# of tickets (>=0)","Price Range","Type"
"GA2","30","$46 - $55","resale"
"GA3","15","$35","primary"
"GA1","13","$52 - $162","resale"
"BALC","6","$89.5","primary"
"BALC","4","$69.5","primary"
"BALC","2","$119.5","primary"
