"Section","# of tickets (>=0)","Price Range","Type"
"GA2","500","$45.5","primary"
"GA1","139","$181.5","primary"
"GA3","131","$45.5","primary"
"GA1","37","$45.5","primary"
"BALC3","15","$45.5","primary"
"BALC5","12","$45.5","primary"
"BALC4","12","$45.5","primary"
"BALC2","12","$45.5","primary"
"MEZZ3","3","$174.25","primary"
"BALC1","3","$45.5","primary"
"MEZZ1","2","$148","primary"
"BALC7","1","$45.5","primary"
"BALC6","1","$45.5","primary"
