"Section","# of tickets (>=0)","Price Range","Type"
"MFGAST","1389","$35","primary"
"230","135","$47","primary"
"240","118","$47","primary"
"250OBS","97","$45","primary"
"220OBS","58","$45","primary"
"240OBS","19","$45","primary"
"MFGAST","18","$53 - $57","resale"
"230OBS","15","$45","primary"
"240","6","$123","resale"
"240","4","$3579","resale"
"240","4","$3579","resale"
"230","4","$120","resale"
"240OBS","2","$173","resale"
"230","2","$99","resale"
"210OBS","1","$45","primary"
