"Section","# of tickets (>=0)","Price Range","Type"
"GA2","470","$27.5","primary"
"GA1","395","$27.5","primary"
"GA3","140","$27.5","primary"
"GA1","30","$27.5","primary"
"BALC","6","$47.5","primary"
"BALR","5","$87.25","primary"
"BALL","5","$47.5","primary"
"BALR","4","$47.5","primary"
"BALR","2","$97.25","primary"
"BALR","2","$47.5","primary"
"BALC","2","$47.5","primary"
"BALC","2","$97.25","primary"
"BALC","2","$87.25","primary"
